UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 20:53 ?        00:00:01 systemd
root         2     0  0 20:53 ?        00:00:00 [kthreadd]
root         3     2  0 20:53 ?        00:00:00 [rcu_gp]
root         4     2  0 20:53 ?        00:00:00 [rcu_par_gp]
root         6     2  0 20:53 ?        00:00:00 [kworker/0:0H-kblockd]
root         8     2  0 20:53 ?        00:00:00 [mm_percpu_wq]
root         9     2  0 20:53 ?        00:00:00 [ksoftirqd/0]
root        10     2  0 20:53 ?        00:00:01 [rcu_sched]
root        11     2  0 20:53 ?        00:00:00 [migration/0]
root        12     2  0 20:53 ?        00:00:00 [cpuhp/0]
root        13     2  0 20:53 ?        00:00:00 [cpuhp/1]
root        14     2  0 20:53 ?        00:00:00 [migration/1]
root        15     2  0 20:53 ?        00:00:00 [ksoftirqd/1]
root        17     2  0 20:53 ?        00:00:00 [kworker/1:0H-kblockd]
root        18     2  0 20:53 ?        00:00:00 [cpuhp/2]
root        19     2  0 20:53 ?        00:00:00 [migration/2]
root        20     2  0 20:53 ?        00:00:00 [ksoftirqd/2]
root        22     2  0 20:53 ?        00:00:00 [kworker/2:0H-kblockd]
root        23     2  0 20:53 ?        00:00:00 [cpuhp/3]
root        24     2  0 20:53 ?        00:00:00 [migration/3]
root        25     2  0 20:53 ?        00:00:00 [ksoftirqd/3]
root        27     2  0 20:53 ?        00:00:00 [kworker/3:0H-kblockd]
root        28     2  0 20:53 ?        00:00:00 [cpuhp/4]
root        29     2  0 20:53 ?        00:00:00 [migration/4]
root        30     2  0 20:53 ?        00:00:00 [ksoftirqd/4]
root        32     2  0 20:53 ?        00:00:00 [kworker/4:0H-kblockd]
root        33     2  0 20:53 ?        00:00:00 [cpuhp/5]
root        34     2  0 20:53 ?        00:00:00 [migration/5]
root        35     2  0 20:53 ?        00:00:00 [ksoftirqd/5]
root        37     2  0 20:53 ?        00:00:00 [kworker/5:0H-kblockd]
root        38     2  0 20:53 ?        00:00:00 [cpuhp/6]
root        39     2  0 20:53 ?        00:00:00 [migration/6]
root        40     2  0 20:53 ?        00:00:00 [ksoftirqd/6]
root        41     2  0 20:53 ?        00:00:00 [kworker/6:0-events]
root        42     2  0 20:53 ?        00:00:00 [kworker/6:0H-kblockd]
root        43     2  0 20:53 ?        00:00:00 [cpuhp/7]
root        44     2  0 20:53 ?        00:00:00 [migration/7]
root        45     2  0 20:53 ?        00:00:00 [ksoftirqd/7]
root        47     2  0 20:53 ?        00:00:00 [kworker/7:0H-kblockd]
root        48     2  0 20:53 ?        00:00:00 [kdevtmpfs]
root        49     2  0 20:53 ?        00:00:00 [netns]
root        50     2  0 20:53 ?        00:00:00 [kauditd]
root        52     2  0 20:53 ?        00:00:00 [khungtaskd]
root        53     2  0 20:53 ?        00:00:00 [oom_reaper]
root        54     2  0 20:53 ?        00:00:00 [writeback]
root        55     2  0 20:53 ?        00:00:00 [kcompactd0]
root        56     2  0 20:53 ?        00:00:00 [ksmd]
root        57     2  0 20:53 ?        00:00:00 [khugepaged]
root        77     2  0 20:53 ?        00:00:00 [kintegrityd]
root        78     2  0 20:53 ?        00:00:00 [kblockd]
root        79     2  0 20:53 ?        00:00:00 [blkcg_punt_bio]
root        83     2  0 20:53 ?        00:00:00 [devfreq_wq]
root        85     2  0 20:53 ?        00:00:00 [kswapd0]
root        86     2  0 20:53 ?        00:00:00 [kthrotld]
root        87     2  0 20:53 ?        00:00:00 [irq/123-aerdrv]
root        88     2  0 20:53 ?        00:00:00 [irq/124-aerdrv]
root        89     2  0 20:53 ?        00:00:00 [irq/125-aerdrv]
root        90     2  0 20:53 ?        00:00:00 [irq/126-aerdrv]
root        92     2  0 20:53 ?        00:00:00 [ipv6_addrconf]
root        93     2  0 20:53 ?        00:00:00 [kstrp]
root       172     2  0 20:53 ?        00:00:00 [nvme-wq]
root       173     2  0 20:53 ?        00:00:00 [nvme-reset-wq]
root       174     2  0 20:53 ?        00:00:00 [nvme-delete-wq]
root       178     2  0 20:53 ?        00:00:00 [ata_sff]
root       179     2  0 20:53 ?        00:00:00 [scsi_eh_0]
root       180     2  0 20:53 ?        00:00:00 [scsi_tmf_0]
root       181     2  0 20:53 ?        00:00:00 [scsi_eh_1]
root       182     2  0 20:53 ?        00:00:00 [scsi_tmf_1]
root       183     2  0 20:53 ?        00:00:00 [scsi_eh_2]
root       184     2  0 20:53 ?        00:00:00 [scsi_tmf_2]
root       185     2  0 20:53 ?        00:00:00 [scsi_eh_3]
root       186     2  0 20:53 ?        00:00:00 [scsi_tmf_3]
root       187     2  0 20:53 ?        00:00:00 [scsi_eh_4]
root       188     2  0 20:53 ?        00:00:00 [scsi_tmf_4]
root       195     2  0 20:53 ?        00:00:00 [kworker/7:1H-kblockd]
root       213     2  0 20:53 ?        00:00:00 [kworker/6:1H-kblockd]
root       216     2  0 20:53 ?        00:00:00 [kworker/4:1H-kblockd]
root       235     2  0 20:53 ?        00:00:00 [kworker/5:1H-kblockd]
root       236     2  0 20:53 ?        00:00:00 [jbd2/sda3-8]
root       237     2  0 20:53 ?        00:00:00 [ext4-rsv-conver]
root       366     2  0 20:53 ?        00:00:00 [kworker/3:1H-kblockd]
root       369     2  0 20:53 ?        00:00:00 [kworker/2:1H-kblockd]
root       372     2  0 20:53 ?        00:00:00 [kworker/1:1H-kblockd]
root       377     2  0 20:53 ?        00:00:00 [kworker/0:1H-kblockd]
root       531     1  0 20:53 ?        00:00:00 /nix/store/q6ylicsava582g55mdx0788yg2fib7js-systemd-246.6/lib/systemd/systemd-journald
